date,station,line,division,daily_ridership
2016-09-25,TIMES SQ-42 ST,ACENQRS1237,RIT,3439
2016-09-26,TIMES SQ-42 ST,ACENQRS1237,RIT,12512
2016-09-27,TIMES SQ-42 ST,ACENQRS1237,RIT,13366
2016-09-28,TIMES SQ-42 ST,ACENQRS1237,RIT,13912
2016-09-29,TIMES SQ-42 ST,ACENQRS1237,RIT,13501
2016-09-30,TIMES SQ-42 ST,ACENQRS1237,RIT,13611
2016-10-01,TIMES SQ-42 ST,ACENQRS1237,RIT,4567
2016-10-02,TIMES SQ-42 ST,ACENQRS1237,RIT,3454
2016-10-03,TIMES SQ-42 ST,ACENQRS1237,RIT,10706
2016-10-04,TIMES SQ-42 ST,ACENQRS1237,RIT,12423
2016-10-05,TIMES SQ-42 ST,ACENQRS1237,RIT,13793
2016-10-06,TIMES SQ-42 ST,ACENQRS1237,RIT,13671
2016-10-07,TIMES SQ-42 ST,ACENQRS1237,RIT,13236
2016-10-08,TIMES SQ-42 ST,ACENQRS1237,RIT,4920
2016-10-09,TIMES SQ-42 ST,ACENQRS1237,RIT,3228
2016-10-10,TIMES SQ-42 ST,ACENQRS1237,RIT,10117
2016-10-11,TIMES SQ-42 ST,ACENQRS1237,RIT,13150
2016-10-12,TIMES SQ-42 ST,ACENQRS1237,RIT,11474
2016-10-13,TIMES SQ-42 ST,ACENQRS1237,RIT,13610
2016-10-14,TIMES SQ-42 ST,ACENQRS1237,RIT,13311
2016-10-15,TIMES SQ-42 ST,ACENQRS1237,RIT,5091
2016-10-16,TIMES SQ-42 ST,ACENQRS1237,RIT,3530
2016-10-17,TIMES SQ-42 ST,ACENQRS1237,RIT,11974
2016-10-18,TIMES SQ-42 ST,ACENQRS1237,RIT,13237
2016-10-19,TIMES SQ-42 ST,ACENQRS1237,RIT,14042
2016-10-20,TIMES SQ-42 ST,ACENQRS1237,RIT,13989
2016-10-21,TIMES SQ-42 ST,ACENQRS1237,RIT,13063
2016-10-22,TIMES SQ-42 ST,ACENQRS1237,RIT,5172
2016-10-23,TIMES SQ-42 ST,ACENQRS1237,RIT,3820
2016-10-24,TIMES SQ-42 ST,ACENQRS1237,RIT,12219
2016-10-25,TIMES SQ-42 ST,ACENQRS1237,RIT,13439
2016-10-26,TIMES SQ-42 ST,ACENQRS1237,RIT,14311
2016-10-27,TIMES SQ-42 ST,ACENQRS1237,RIT,14435
2016-10-28,TIMES SQ-42 ST,ACENQRS1237,RIT,13806
2016-07-31,34 ST-HERALD SQ,BDFMNQR,RIT,19974
2016-08-01,34 ST-HERALD SQ,BDFMNQR,RIT,38480
2016-08-02,34 ST-HERALD SQ,BDFMNQR,RIT,42479
2016-08-03,34 ST-HERALD SQ,BDFMNQR,RIT,44352
2016-08-04,34 ST-HERALD SQ,BDFMNQR,RIT,44089
2016-08-05,34 ST-HERALD SQ,BDFMNQR,RIT,43839
2016-08-06,34 ST-HERALD SQ,BDFMNQR,RIT,27552
2016-08-07,34 ST-HERALD SQ,BDFMNQR,RIT,21710
2016-08-08,34 ST-HERALD SQ,BDFMNQR,RIT,39653
2016-08-09,34 ST-HERALD SQ,BDFMNQR,RIT,43052
2016-08-10,34 ST-HERALD SQ,BDFMNQR,RIT,43752
2016-08-11,34 ST-HERALD SQ,BDFMNQR,RIT,42762
2016-08-12,34 ST-HERALD SQ,BDFMNQR,RIT,42482
2016-08-13,34 ST-HERALD SQ,BDFMNQR,RIT,24050
2016-08-14,34 ST-HERALD SQ,BDFMNQR,RIT,19306
2016-08-15,34 ST-HERALD SQ,BDFMNQR,RIT,38351
2016-08-16,34 ST-HERALD SQ,BDFMNQR,RIT,41961
2016-08-17,34 ST-HERALD SQ,BDFMNQR,RIT,42498
2016-08-18,34 ST-HERALD SQ,BDFMNQR,RIT,42279
2016-08-19,34 ST-HERALD SQ,BDFMNQR,RIT,41625
2016-08-20,34 ST-HERALD SQ,BDFMNQR,RIT,25860
2016-08-21,34 ST-HERALD SQ,BDFMNQR,RIT,20590
2016-08-22,34 ST-HERALD SQ,BDFMNQR,RIT,37495
2016-08-23,34 ST-HERALD SQ,BDFMNQR,RIT,41317
2016-08-24,34 ST-HERALD SQ,BDFMNQR,RIT,42277
2016-08-25,34 ST-HERALD SQ,BDFMNQR,RIT,41703
2016-08-26,34 ST-HERALD SQ,BDFMNQR,RIT,41130
2016-08-27,34 ST-HERALD SQ,BDFMNQR,RIT,25649
2016-08-28,34 ST-HERALD SQ,BDFMNQR,RIT,20634
2016-08-29,34 ST-HERALD SQ,BDFMNQR,RIT,38427
2016-08-30,34 ST-HERALD SQ,BDFMNQR,RIT,40272
2016-08-31,34 ST-HERALD SQ,BDFMNQR,RIT,41073
2016-09-01,34 ST-HERALD SQ,BDFMNQR,RIT,40275
2016-09-02,34 ST-HERALD SQ,BDFMNQR,RIT,39206
2016-09-03,34 ST-HERALD SQ,BDFMNQR,RIT,24626
2016-09-04,34 ST-HERALD SQ,BDFMNQR,RIT,20727
2016-09-05,34 ST-HERALD SQ,BDFMNQR,RIT,20325
2016-09-06,34 ST-HERALD SQ,BDFMNQR,RIT,39044
2016-09-07,34 ST-HERALD SQ,BDFMNQR,RIT,43050
2016-09-08,34 ST-HERALD SQ,BDFMNQR,RIT,42364
